id_participant,condition,uncertaintyCondition,backgroundCondition,experiment_phase,round,trial,correct,completed_by,reaction_time,category,category_selected,category_id,category_selected_id,trained,iti_trial,previous_category_id,previous_category,selected_id,current_position_entity_selected_x,current_position_entity_selected_y,selected_entity_category_id,selected_entity_category,changed_entity_id,changed_entity_category_id,changed_entity_category,current_position_entity_changed_x,current_position_entity_changed_y,first_round,second_round,no_change,from_category_id,to_category_id,selected_entity_id,HOSTILE_entities,NEUTRAL_entities,PENDING_entities,UNKNOWN_entities,FRIEND_entities,ASSUMED_FRIEND_entities,ASSUMED_HOSTILE_entities,UNCERTAIN_FRIEND_entities,UNCERTAIN_HOSTILE_entities,total_entities_second_round
1,control_black,control,black,monitoring,3,13,0,CLICKED,391,"","",,,,588,1,UNKNOWN,,530,140,1,UNKNOWN,4,6,ASSUMED_HOSTILE,553,253,0,1,FALSE,1,6,21,7,4,0,3,3,4,3,0,0,24
1,control_black,control,black,monitoring,3,14,0,CLICKED,181,"","",,,,1329,1,UNKNOWN,,498,276,6,ASSUMED_HOSTILE,5,3,NEUTRAL,234,378,0,1,FALSE,1,3,4,7,5,0,2,3,4,3,0,0,24
1,control_black,control,black,monitoring,3,15,0,CLICKED,862,"","",,,,1429,2,FRIEND,,558,318,1,UNKNOWN,6,5,ASSUMED_FRIEND,408,232,0,1,FALSE,2,5,13,7,5,0,2,2,5,3,0,0,24
1,control_black,control,black,monitoring,3,16,0,TIMEOUT,,"","",,,,570,6,ASSUMED_HOSTILE,,,,,,4,5,ASSUMED_FRIEND,633,204,0,1,FALSE,6,5,,7,5,0,2,2,6,2,0,0,24
1,control_black,control,black,monitoring,3,17,0,CLICKED,673,"","",,,,1262,5,ASSUMED_FRIEND,,567,356,3,NEUTRAL,4,6,ASSUMED_HOSTILE,689,309,0,1,FALSE,5,6,19,7,5,0,2,2,5,3,0,0,24
1,control_black,control,black,monitoring,3,18,0,CLICKED,583,"","",,,,916,1,UNKNOWN,,699,358,3,NEUTRAL,13,5,ASSUMED_FRIEND,654,150,0,1,FALSE,1,5,19,7,5,0,1,2,6,3,0,0,24
1,control_black,control,black,monitoring,3,19,0,CLICKED,14,"","",,,,638,5,ASSUMED_FRIEND,,138,196,3,NEUTRAL,6,3,NEUTRAL,510,175,0,1,FALSE,5,3,5,7,6,0,1,2,5,3,0,0,24
1,control_black,control,black,monitoring,3,20,0,TIMEOUT,,"","",,,,506,6,ASSUMED_HOSTILE,,,,,,4,2,FRIEND,504,307,0,1,FALSE,6,2,,7,6,0,1,3,5,2,0,0,24
1,control_black,control,black,monitoring,3,21,1,CLICKED,1647,"","",,,,1895,2,FRIEND,,633,136,6,ASSUMED_HOSTILE,4,6,ASSUMED_HOSTILE,633,136,0,1,FALSE,2,6,4,7,6,0,1,2,5,3,0,0,24
1,control_black,control,black,monitoring,3,22,0,TIMEOUT,,"","",,,,1349,5,ASSUMED_FRIEND,,,,,,13,2,FRIEND,627,729,0,1,FALSE,5,2,,7,6,0,1,3,4,3,0,0,24
1,control_black,control,black,monitoring,3,23,0,TIMEOUT,,"","",,,,845,6,ASSUMED_HOSTILE,,,,,,4,3,NEUTRAL,366,239,0,1,FALSE,6,3,,7,7,0,1,3,4,2,0,0,24
1,control_black,control,black,monitoring,3,24,1,CLICKED,3741,"","",,,,522,1,UNKNOWN,,318,314,4,HOSTILE,21,4,HOSTILE,318,314,0,1,FALSE,1,4,21,8,7,0,0,3,4,2,0,0,24
1,control_black,control,black,monitoring,3,25,0,TIMEOUT,,"","",,,,1891,6,ASSUMED_HOSTILE,,,,,,22,1,UNKNOWN,194,150,0,1,FALSE,6,1,,8,7,0,1,3,4,1,0,0,24
1,control_black,control,black,monitoring,3,26,0,TIMEOUT,,"","",,,,1897,1,UNKNOWN,,,,,,22,5,ASSUMED_FRIEND,295,346,0,1,FALSE,1,5,,8,7,0,0,3,5,1,0,0,24
1,control_black,control,black,monitoring,3,27,0,CLICKED,467,"","",,,,713,2,FRIEND,,499,354,3,NEUTRAL,7,1,UNKNOWN,325,506,0,1,FALSE,2,1,8,8,7,0,1,2,5,1,0,0,24
1,control_black,control,black,monitoring,3,28,0,CLICKED,2121,"","",,,,715,5,ASSUMED_FRIEND,,304,676,1,UNKNOWN,14,3,NEUTRAL,589,425,0,1,FALSE,5,3,7,8,8,0,1,2,4,1,0,0,24
1,control_black,control,black,monitoring,3,29,0,CLICKED,207,"","",,,,1591,6,ASSUMED_HOSTILE,,386,637,1,UNKNOWN,23,5,ASSUMED_FRIEND,248,230,0,1,FALSE,6,5,7,8,8,0,1,2,5,0,0,0,24
1,control_black,control,black,monitoring,3,30,0,TIMEOUT,,"","",,,,1424,1,UNKNOWN,,,,,,7,2,FRIEND,202,387,0,1,FALSE,1,2,,8,8,0,0,3,5,0,0,0,24
2,control_black,control,black,categoryLearning,,1,0,TIMEOUT,,UNKNOWN,,1,,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,2,0,TIMEOUT,,HOSTILE,,4,,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,3,0,CLICKED,1132,NEUTRAL,UNKNOWN,3,1,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,4,0,CLICKED,1215,FRIEND,HOSTILE,2,4,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,5,0,CLICKED,1171,UNKNOWN,NEUTRAL,1,3,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,6,1,CLICKED,1254,HOSTILE,HOSTILE,4,4,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,7,1,CLICKED,1051,FRIEND,FRIEND,2,2,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,8,1,CLICKED,2317,NEUTRAL,NEUTRAL,3,3,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,9,1,CLICKED,1241,HOSTILE,HOSTILE,4,4,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,10,1,CLICKED,1096,UNKNOWN,UNKNOWN,1,1,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,11,1,CLICKED,713,NEUTRAL,NEUTRAL,3,3,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,12,1,CLICKED,1640,FRIEND,FRIEND,2,2,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,categoryLearning,,13,1,CLICKED,1115,UNKNOWN,UNKNOWN,1,1,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
2,control_black,control,black,practiceMonitoring,,1,0,TIMEOUT,,"","",,,,941,4,HOSTILE,,,,,,0,3,NEUTRAL,692,454,,,,,,,,,,,,,,,,
2,control_black,control,black,practiceMonitoring,,2,1,CLICKED,2322,"","",,,,1441,3,NEUTRAL,1,412,513,1,UNKNOWN,1,1,UNKNOWN,412,513,,,,,,,,,,,,,,,,
2,control_black,control,black,practiceMonitoring,,3,1,CLICKED,1190,"","",,,,1667,1,UNKNOWN,2,319,630,2,FRIEND,2,2,FRIEND,319,630,,,,,,,,,,,,,,,,
